,instr,course,term,evals,rcmnd_class,rcmnd_instr,time,class_weighted_evals,instr_weighted_evals,letter_expected,gpa_expected,letter_actual,gpa_actual
1464,"Jones, Makeba",EDS 126,WI18,26,0.9229999999999999,0.9229999999999999,3.58,24,24,A- ,3.88,A- ,3.8
1465,"Bresser, Bernard George",EDS 128A,WI18,11,1.0,1.0,5.41,11,11,A- ,3.91,A- ,3.91
1466,"Black, Alison Michelle",EDS 129B,WI18,20,1.0,1.0,5.45,20,20,A ,4.0,A- ,3.94
1467,"Holtzman, Caren Lynn",EDS 130,WI18,20,1.0,1.0,6.1,20,20,A- ,3.79,B+ ,3.6
1468,"Chung, Luz Marina",EDS 136,WI18,33,0.938,1.0,6.88,31,33,A- ,3.81,B+ ,3.66
1469,"Larson, David Philip",ENG 10,WI18,18,0.9440000000000001,1.0,2.17,17,18,A- ,3.88,A- ,3.97
1470,"Choi, Seongcheol",ENG 10,WI18,19,0.833,0.833,2.72,16,16,A ,4.0,A ,4.0
1471,"Reynante, Brandon Marcellino",ENG 100D,WI18,45,0.8220000000000001,0.978,7.12,37,44,B+ ,3.61,B+ ,3.61
1472,"Reynante, Brandon Marcellino",ENG 100D,WI18,44,0.977,1.0,6.83,43,44,B+ ,3.6,B+ ,3.61
1473,"Reynante, Brandon Marcellino",ENG 100D,WI18,43,0.93,1.0,7.66,40,43,B+ ,3.66,B+ ,3.61
1474,"Henter, Heather J.",ENVR 102,WI18,18,0.722,0.833,4.06,13,15,B+ ,3.35,B+ ,3.34
1475,"Ochoa, Edward Henry",ENVR 110,WI18,20,1.0,0.9440000000000001,5.94,20,19,B ,3.23,B- ,2.78
1476,"Evans, Ivan T",ERC 192A,WI18,15,0.857,0.7859999999999999,1.64,13,12,B+ ,3.5,B+ ,3.59
1477,"Minster, Jean Bernard H.",ESYS 102,WI18,47,0.9329999999999999,0.8859999999999999,4.68,44,42,B+ ,3.31,B- ,2.86
1478,"Russell, Lynn M.",ESYS 102,WI18,47,0.9329999999999999,0.8859999999999999,4.68,44,42,B+ ,3.31,B- ,2.86
1479,"Marez, Curtis F.",ETHN 100B,WI18,8,0.5710000000000001,0.667,3.0,5,5,A- ,3.88,B+ ,3.64
1480,"De Leon, Justin",ETHN 104,WI18,28,1.0,0.9620000000000001,4.04,28,27,B+ ,3.68,A- ,3.8
1481,"De Leon, Justin",ETHN 113,WI18,13,1.0,1.0,4.65,13,13,A- ,3.77,A- ,3.93
1482,"Nguyen, Ly Thuy",ETHN 122,WI18,24,0.9129999999999999,0.826,3.14,22,20,B+ ,3.55,B+ ,3.43
1483,"Ho, Lisa",ETHN 152,WI18,19,0.8240000000000001,0.882,3.32,16,17,A- ,3.76,A- ,3.77
1484,"Streeby, Shelley",ETHN 182,WI18,12,0.583,0.636,4.0,7,8,A- ,3.89,A- ,3.81
1485,"Espiritu, Yen",ETHN 2,WI18,201,0.9059999999999999,0.894,3.42,182,180,A- ,3.78,A- ,3.81
1486,"Aldelaimy, Wael",FMPH 101,WI18,46,0.7559999999999999,0.42200000000000004,6.2,35,19,B- ,2.93,B- ,2.78
1487,"Schwartzman, Armin",FMPH 102,WI18,38,0.763,0.6579999999999999,5.03,29,25,B ,3.24,B ,3.24
1488,"Marquez, Becky",FMPH 110,WI18,63,0.9520000000000001,0.9520000000000001,4.4,60,60,B+ ,3.44,B- ,2.74
1489,"McMenamin, Sara B",FMPH 120,WI18,56,0.9109999999999999,0.9109999999999999,5.89,51,51,B+ ,3.59,B ,3.26
1490,"Vanos, Jennifer K.",FMPH 130,WI18,49,0.878,0.9179999999999999,4.7,43,45,B ,3.27,B ,3.25
1491,"Larsen, Britta Ann",FMPH 40,WI18,43,1.0,0.9520000000000001,4.22,43,41,B+ ,3.53,B ,3.27
1492,"Kang, Byung Chu",GLBH 148,WI18,86,1.0,0.953,3.59,86,82,A- ,3.86,A- ,3.84
1493,"Csordas, Thomas J.",GLBH 150A,WI18,9,0.778,0.778,6.72,7,7,A- ,3.89,A- ,3.77
1494,"Parish, Steven Martin",GLBH 150A,WI18,7,1.0,0.6,4.5,7,4,A- ,3.83,A- ,3.94
1495,"Saravia, Paula F",GLBH 20,WI18,51,0.961,0.941,4.85,49,48,A- ,3.75,A- ,3.96
1496,"Ark, Wendy S",HDP 110,WI18,22,0.905,0.857,6.23,20,19,B+ ,3.64,B+ ,3.33
1497,"Stewart, Alexander B",HDP 133,WI18,26,0.833,0.917,3.75,22,24,A- ,3.88,A- ,3.8
1498,"Blaise, Jean G",HDP 150,WI18,6,1.0,1.0,5.83,6,6,A- ,3.83,B+ ,3.63
1499,"Blaise, Jean G",HDP 171,WI18,15,1.0,1.0,3.93,15,15,A ,4.0,B+ ,3.6
1500,"Prestholdt, Jeremy",HIAF 111,WI18,37,0.971,1.0,3.64,36,37,B+ ,3.62,B+ ,3.49
1501,"Pickowicz, Paul G.",HIEA 133,WI18,29,0.9309999999999999,0.9640000000000001,5.33,27,28,A- ,3.77,B+ ,3.62
1502,"Kim, Hyung-Wook",HIEA 150,WI18,30,0.893,0.929,3.67,27,28,B+ ,3.44,B ,3.25
1503,"Gallant, Thomas W.",HIEU 116C,WI18,56,1.0,1.0,4.39,56,56,B+ ,3.6,B ,3.04
1504,"Demetriou, Denise",HIEU 122,WI18,36,0.972,0.914,6.11,35,33,B+ ,3.39,B ,3.2
1505,"Neuheiser, Joerg",HIEU 128,WI18,44,0.955,0.955,4.31,42,42,B+ ,3.57,B ,3.25
1506,"Radcliff, Pamela B.",HIEU 140,WI18,30,0.862,0.9309999999999999,5.1,26,28,B+ ,3.42,B+ ,3.32
1507,"Cowan, Benjamin A",HILA 101,WI18,11,0.909,1.0,6.86,10,11,B ,3.27,B+ ,3.64
1508,"Graham, Jessica Lynn",HILA 121B,WI18,23,1.0,1.0,3.95,23,23,B+ ,3.6,B+ ,3.66
1509,"Hunefeldt, Christine",HILA 144,WI18,15,0.9329999999999999,0.867,3.83,14,13,B+ ,3.5,B+ ,3.67
1510,"Merrill O'Keefe, Amy Roxanne",HILD 11,WI18,107,0.581,0.638,4.46,62,68,B ,3.29,B ,3.06
1511,"Klein, Rachel",HILD 2B,WI18,108,0.865,0.9229999999999999,3.74,93,100,B+ ,3.49,B+ ,3.37
1512,"Edington, Claire Ellen",HILD 30,WI18,52,0.7759999999999999,0.816,4.79,40,42,B+ ,3.42,B ,3.25
1513,"Man, Simeon S",HILD 7B,WI18,262,0.8959999999999999,0.919,4.13,235,241,B+ ,3.49,B+ ,3.59
1514,"Kayali, Hasan",HINE 118,WI18,33,0.909,0.9390000000000001,4.32,30,31,B+ ,3.37,B ,3.18
1515,"Westman, Robert S",HISC 106,WI18,25,0.708,0.833,3.67,18,21,B+ ,3.44,B- ,2.74
1516,"Gere, Catherina M.",HISC 117,WI18,20,0.95,1.0,4.2,19,20,B+ ,3.67,A- ,3.71
1517,"Klann, Mary Cameron",HIUS 108A,WI18,58,0.983,1.0,4.64,57,58,B+ ,3.51,B+ ,3.38
1518,"Plant, Rebecca Jo",HIUS 157,WI18,33,1.0,1.0,4.56,33,33,B+ ,3.69,B+ ,3.58
1519,"Chodorow, Stanley A.",HUM 1,WI18,101,0.7140000000000001,0.7959999999999999,6.56,72,80,B ,3.03,B ,3.04
1520,"Cox, Stephen D.",HUM 1,WI18,255,0.802,0.9359999999999999,7.09,205,239,B ,3.15,B ,3.13
1521,"Johnson, Monte",HUM 1,WI18,116,0.486,0.696,7.55,56,81,B- ,2.8,B- ,2.88
1522,"Lyon, Antony J.",HUM 1,WI18,285,0.741,0.978,6.89,211,279,B- ,2.9,B- ,2.97
1523,"Zroka, Amy Liane",HUM 4,WI18,118,0.7,0.879,5.16,83,104,B ,3.02,B- ,2.93
1524,"Watkins, Eric",HUM 4,WI18,112,0.67,0.937,5.65,75,105,B ,3.02,B ,3.1
1525,"Vitz, Matthew",INTL 101,WI18,165,0.81,0.8220000000000001,5.61,134,136,B+ ,3.38,B+ ,3.32
1526,"Haggard, Stephan M.",INTL 102,WI18,214,0.887,0.958,5.99,190,205,B+ ,3.35,B ,3.14
1527,"Bharadwaj, Prashant",INTL 190,WI18,9,1.0,1.0,4.72,9,9,B+ ,3.44,B+ ,3.55
1528,"Bharadwaj, Prashant",INTL 190,WI18,12,1.0,0.909,7.05,12,11,B+ ,3.55,B+ ,3.55
1529,"Kshatriya, Krista C",INTL 190,WI18,13,1.0,1.0,7.0,13,13,B+ ,3.58,B+ ,3.38
1530,"Iwamoto, Naoki",JAPN 10B,WI18,15,1.0,1.0,5.97,15,15,B+ ,3.64,A- ,3.77
1531,"Iwamoto, Naoki",JAPN 10B,WI18,20,1.0,1.0,5.1,20,20,A- ,3.88,A- ,3.77
1532,"Ross, Kayoko F",JAPN 10B,WI18,13,1.0,1.0,6.81,13,13,B+ ,3.67,B+ ,3.58
1533,"Inada, Minori",JAPN 10B,WI18,15,0.929,0.929,6.36,14,14,A- ,3.75,B+ ,3.57
1534,"Takeda, Izumi",JAPN 10B,WI18,19,1.0,1.0,5.13,19,19,A- ,3.88,B+ ,3.66
1535,"Tipton, Yuko",JAPN 10B,WI18,13,1.0,1.0,5.58,13,13,A- ,3.77,A- ,3.93
1536,"Simpson, Junko Tokuda",JAPN 10B,WI18,15,1.0,1.0,6.07,15,15,A- ,3.77,B+ ,3.63
1537,"Takeda, Izumi",JAPN 10B,WI18,15,1.0,0.9329999999999999,5.17,15,14,B+ ,3.67,B+ ,3.66
1538,"Tipton, Yuko",JAPN 10B,WI18,18,1.0,1.0,4.83,18,18,A- ,3.89,A- ,3.93
1539,"Iwamoto, Naoki",JAPN 10B,WI18,16,1.0,1.0,6.13,16,16,B+ ,3.67,A- ,3.77
1540,"Maruyama, Rie",JAPN 10B,WI18,13,1.0,1.0,4.19,13,13,A- ,3.83,B+ ,3.39
1541,"Ross, Kayoko F",JAPN 10B,WI18,8,1.0,1.0,4.5,8,8,A- ,3.88,B+ ,3.58
1542,"Kamioka, Sachiko",JAPN 10B,WI18,14,1.0,0.929,4.79,14,13,A- ,3.92,A- ,3.71
1543,"Kamioka, Sachiko",JAPN 10B,WI18,18,0.9440000000000001,1.0,5.94,17,18,A- ,3.94,A- ,3.71
1544,"Inada, Minori",JAPN 20B,WI18,17,1.0,1.0,4.62,17,17,A- ,3.79,B+ ,3.67
1545,"McKee, Mayumi Mochizuki",JAPN 20B,WI18,10,1.0,1.0,3.61,10,10,A- ,3.88,B+ ,3.64
1546,"McKee, Mayumi Mochizuki",JAPN 20B,WI18,14,1.0,1.0,3.5,14,14,B+ ,3.69,B+ ,3.64
1547,"Maruyama, Rie",JAPN 20B,WI18,15,1.0,1.0,3.17,15,15,B+ ,3.67,A- ,3.81
1548,"Janusz, Andrew James",LATI 50,WI18,83,0.7829999999999999,0.94,3.7,65,78,B ,3.16,C+ ,2.65
1549,"Caponigro, Ivano",LIGN 101,WI18,51,0.98,0.98,4.06,50,50,B ,3.28,B ,3.05
1550,"Bakovic, Eric John",LIGN 111,WI18,41,0.925,0.95,7.13,38,39,B ,3.2,B ,3.08
1551,"Garellek, Marc",LIGN 112,WI18,39,1.0,1.0,4.29,39,39,B+ ,3.39,B+ ,3.34
1552,"Munoz Sanchez, Alicia",LIGN 119,WI18,30,0.966,0.966,3.6,29,29,A- ,3.71,B+ ,3.33
1553,"Biswas, Priyanka",LIGN 121,WI18,52,0.804,0.8,4.58,42,42,B+ ,3.37,B ,3.18
1554,"McIntosh, Justin Daniel",LIGN 143,WI18,22,0.9520000000000001,0.9520000000000001,5.17,21,21,A- ,3.71,B+ ,3.51
1555,"Kehler, Andrew Scott",LIGN 17,WI18,74,0.986,1.0,2.73,73,74,B+ ,3.41,B ,3.06
1556,"Micklos, Ashley M.",LIGN 174,WI18,13,1.0,1.0,3.33,13,13,B+ ,3.67,B ,3.23
1557,"Kluender, Robert",LIGN 181,WI18,19,0.8420000000000001,0.9470000000000001,5.97,16,18,B ,3.0,B ,3.1
1558,"Mayberry, Rachel",LIGN 7,WI18,123,0.862,0.8540000000000001,3.12,106,105,B ,3.28,B ,3.22
1559,"Aguilar, Andres Ehecatl",LIGN 8,WI18,112,0.835,0.88,3.08,94,99,B+ ,3.47,B ,3.28
1560,"Hill, Kimloan T.V.",LIHL 124W,WI18,9,1.0,1.0,2.94,9,9,A- ,3.75,B+ ,3.52
1561,"Liao, Ping H",LTCS 52,WI18,29,0.821,0.893,3.64,24,26,A- ,3.87,A- ,3.76
1562,"Heinrich, Larissa",LTEA 110B,WI18,59,0.845,0.86,5.73,50,51,A- ,3.8,B+ ,3.68
1563,"Miyao, Daisuke",LTEA 132,WI18,24,1.0,1.0,3.58,24,24,A- ,3.71,A- ,3.81
1564,"Miyao, Daisuke",LTEA 138,WI18,146,0.972,0.993,3.16,142,145,A- ,3.87,A- ,3.9
1565,"Walkiewicz, Kathryn A",LTEN 148,WI18,16,1.0,1.0,4.88,16,16,A- ,3.75,A- ,3.84
1566,"Suzuki, Erin M.",LTEN 159,WI18,10,1.0,1.0,7.1,10,10,A- ,3.89,B+ ,3.48
1567,"Lampert-Weissig, Lisa",LTEN 178,WI18,21,0.9520000000000001,1.0,6.6,20,21,A- ,3.81,A- ,3.71
1568,"Nicolazzo, Sarah E.",LTEN 22,WI18,26,0.84,1.0,5.46,22,26,B+ ,3.33,B+ ,3.56
1569,"Johnson, Sara E.",LTEN 25,WI18,38,0.892,0.972,4.07,34,37,B+ ,3.69,B+ ,3.48
1570,"Sanchez, Rosaura",LTEN 29,WI18,40,0.838,0.838,4.28,34,34,B+ ,3.64,B+ ,3.59
1571,"De Marchi Gherini, Adriana",LTEU 105,WI18,15,0.867,1.0,4.23,13,15,A- ,3.87,A ,4.0
1572,"Morse, Ainsley",LTEU 154,WI18,15,1.0,1.0,5.64,15,15,B+ ,3.57,A- ,3.91
1573,"Myerston Santana, Jacobo",LTGK 2,WI18,13,0.9229999999999999,1.0,7.12,12,13,B+ ,3.64,A- ,3.72
1574,"Fischer-Grunski, Eva K",LTGM 2B,WI18,12,1.0,1.0,2.68,12,12,A- ,3.88,B+ ,3.52
1575,"Mebane, Julia",LTLA 2,WI18,9,0.889,1.0,5.17,8,9,A- ,3.78,B+ ,3.5
1576,"Mebane, Julia",LTLA 2,WI18,15,1.0,1.0,5.3,15,15,B+ ,3.64,B+ ,3.5
1577,"Wells, Patricia Rebecca",LTRU 1B,WI18,16,1.0,1.0,5.13,16,16,A ,4.0,B+ ,3.69
1578,"Kokotovic, Milos",LTSP 142,WI18,17,0.875,1.0,4.5,15,17,B+ ,3.6,B+ ,3.5
1579,"Pita, Beatrice M",LTSP 2C,WI18,15,0.9229999999999999,1.0,4.36,14,15,B+ ,3.3,B ,3.29
1580,"Pita, Beatrice M",LTSP 2C,WI18,13,0.9229999999999999,0.846,4.96,12,11,B+ ,3.33,B ,3.29
1581,"Pita, Beatrice M",LTSP 2C,WI18,14,1.0,0.7859999999999999,3.5,14,11,B+ ,3.67,B ,3.29
1582,"Vitkus, Daniel J.",LTTH 115,WI18,10,1.0,1.0,8.1,10,10,B ,3.1,B ,3.18
1583,"duBois, Page Ann",LTWL 100,WI18,38,0.865,0.889,4.08,33,34,B+ ,3.48,B+ ,3.4
1584,"Lerer, Seth",LTWL 116,WI18,49,0.9359999999999999,0.915,3.82,46,45,A- ,3.77,B+ ,3.42
1585,"Rahimi, Babak",LTWL 157,WI18,25,0.88,0.917,5.06,22,23,A- ,3.84,A- ,3.87
1586,"Cohen, Alain J. J.",LTWL 183,WI18,12,1.0,1.0,3.0,12,12,A- ,3.73,A- ,3.85
1587,"Pafunda, Danielle",LTWR 106,WI18,11,1.0,1.0,5.41,11,11,A- ,3.82,A ,4.0
1588,"Banales, Melissa",LTWR 113,WI18,10,1.0,1.0,3.9,10,10,A ,4.0,A- ,3.99
1589,"Springer, Anna Joy",LTWR 114,WI18,10,0.9,0.9,7.9,9,9,A- ,3.8,A- ,3.82
1590,"Hoang, Lily Kim",LTWR 140,WI18,7,0.857,0.857,2.5,6,6,A- ,3.86,A- ,3.74
1591,"Doller, Ben",LTWR 8B,WI18,50,0.958,0.917,2.83,48,46,A- ,3.87,A- ,3.92
1592,"Forbes, Camille",LTWR 8C,WI18,47,0.83,0.8909999999999999,3.31,39,42,B+ ,3.45,B+ ,3.38
1593,"Nomura, Keiko K.",MAE 101A,WI18,103,0.951,0.843,7.47,98,87,B ,3.09,B ,3.16
1594,"Miller, David R.",MAE 101B,WI18,29,0.92,0.8,10.5,27,23,B+ ,3.38,B ,3.04
1595,"Rangamani, Padmini",MAE 11,WI18,100,0.93,0.9490000000000001,8.08,93,95,B ,3.18,B- ,2.9
1596,"Sanchez, Antonio Luis",MAE 113,WI18,31,0.966,0.893,8.57,30,28,B+ ,3.34,B ,3.06
1597,"Krasheninnikov, Sergei",MAE 118,WI18,29,0.679,0.536,3.57,20,16,B ,3.12,B- ,2.74
1598,"Tynan, George Robert",MAE 119,WI18,51,0.86,0.82,5.46,44,42,B ,3.29,B ,3.22
1599,"Kleissl, Jan",MAE 123,WI18,14,1.0,1.0,5.73,14,14,B ,3.15,B ,3.16
1600,"Kleissl, Jan",MAE 126A,WI18,11,1.0,1.0,5.41,11,11,B+ ,3.36,B ,3.3
1601,"Nemat-Nasser, Siavouche",MAE 130A,WI18,91,0.9279999999999999,0.8270000000000001,5.27,84,75,B+ ,3.61,B ,3.02
1602,"Eliasson, Veronica",MAE 130B,WI18,27,0.9229999999999999,0.9229999999999999,10.42,25,25,B ,3.0,B- ,2.79
1603,"Eliasson, Veronica",MAE 130B,WI18,21,0.9,0.85,9.36,19,18,B ,3.0,B- ,2.79
1604,"Nesterenko, Vitali F",MAE 130C,WI18,51,0.75,0.625,6.76,38,32,B- ,2.82,B ,3.2
1605,"Boechler,nicholas Sebastia",MAE 131B,WI18,45,0.956,0.956,6.94,43,43,B ,3.23,B ,3.19
1606,"Cortes, Jorge",MAE 140,WI18,73,0.882,0.956,7.62,64,70,B+ ,3.48,B- ,2.99
1607,"Anderson, Mark Ronald",MAE 142,WI18,21,1.0,1.0,5.07,21,21,A- ,3.71,B+ ,3.47
1608,"de Callafon, Raymond A",MAE 143A,WI18,116,0.449,0.449,6.6,52,52,B- ,2.85,B+ ,3.35
1609,"Martinez, Sonia",MAE 145,WI18,20,0.9440000000000001,0.9440000000000001,6.5,19,19,B ,3.25,B+ ,3.31
1610,"Gravish, Nicholas G",MAE 150,WI18,24,1.0,1.0,7.75,24,24,B+ ,3.38,B ,3.12
1611,"Anderson, Mark Ronald",MAE 155A,WI18,16,0.938,1.0,4.5,15,16,A- ,3.88,A- ,3.79
1612,"Delson, Nathan Joseph",MAE 156A,WI18,27,0.385,0.4,13.12,10,11,B ,3.23,B ,3.27
1613,"Tustaniwskyj, Jerry I",MAE 156A,WI18,14,0.462,0.231,11.58,6,3,B ,3.15,B+ ,3.34
1614,"Tustaniwskyj, Jerry I",MAE 156B,WI18,5,1.0,1.0,16.0,5,5,B+ ,3.5,B+ ,3.66
1615,"Graeve, Olivia A",MAE 160,WI18,31,0.7140000000000001,0.643,4.78,22,20,B+ ,3.64,B ,3.17
1616,"Lal, Ratnesh",MAE 171A,WI18,34,0.5,0.406,7.4,17,14,B+ ,3.5,B+ ,3.46
1617,"Seshadri, Kalyanasundaram",MAE 171A,WI18,34,0.5,0.563,7.4,17,19,B+ ,3.5,B+ ,3.46
1618,"de Callafon, Raymond A",MAE 175A,WI18,15,0.5329999999999999,0.8,9.03,8,12,B+ ,3.6,B+ ,3.63
1619,"Bandaru, Prabhakar",MAE 20,WI18,25,0.76,0.76,5.94,19,19,B ,3.0,B+ ,3.31
1620,"Gibson, Carl H.",MAE 5,WI18,29,0.9259999999999999,0.9620000000000001,5.31,27,28,A- ,3.81,A- ,3.86
1621,"Pham, Hieu Tan",MAE 8,WI18,72,0.831,0.843,6.97,60,61,B+ ,3.38,B+ ,3.3
1622,"Kedlaya, Kiran S.",MATH 100B,WI18,25,0.773,0.773,11.32,19,19,B ,3.29,C+ ,2.68
1623,"Huynh, Thang L",MATH 102,WI18,90,0.889,0.716,6.18,80,64,B+ ,3.49,B- ,2.73
1624,"Strahl, Perry Robert",MATH 102,WI18,31,0.677,0.71,7.43,21,22,B ,3.16,C+ ,2.64
1625,"Pelayo, Alvaro",MATH 103A,WI18,39,0.846,0.9740000000000001,6.82,33,38,B- ,2.95,B- ,2.82
1626,"Popescu, Cristian D.",MATH 103A,WI18,30,0.857,0.885,9.57,26,27,C+ ,2.61,B- ,2.78
1627,"Stapleton, David John",MATH 103A,WI18,28,0.778,0.9620000000000001,8.87,22,27,B ,3.11,C+ ,2.69
1628,"Sorensen, Claus M",MATH 103B,WI18,79,0.43,0.595,10.42,34,47,B- ,2.72,B ,3.01
1629,"Zelmanov, Efim I",MATH 103B,WI18,48,0.644,0.682,7.52,31,33,B- ,2.77,B- ,2.78
1630,"McKernan, James",MATH 104B,WI18,9,0.625,1.0,9.25,6,9,B+ ,3.38,B- ,2.87
1631,"Carter, Anne Toulson",MATH 109,WI18,43,0.872,0.9209999999999999,10.24,37,40,B+ ,3.49,B ,3.11
1632,"Licht, Martin W",MATH 109,WI18,55,0.8,0.8,6.65,44,44,B+ ,3.38,C+ ,2.7
1633,"Rabin, Jeffrey Mark",MATH 109,WI18,51,0.98,0.9390000000000001,6.38,50,48,B ,3.22,B- ,2.82
1634,"Chow, Bennett",MATH 109,WI18,33,0.742,0.742,9.66,24,24,B+ ,3.39,B ,3.11
1635,"Ioana, Adrian",MATH 109,WI18,14,1.0,1.0,5.58,14,14,B+ ,3.62,B ,3.16
1636,"Um, Ko Woon",MATH 10A,WI18,160,0.6779999999999999,0.713,6.89,108,114,C+ ,2.52,C ,2.19
1637,"Quarfoot, David James",MATH 10A,WI18,108,0.8640000000000001,0.951,7.1,93,103,C+ ,2.61,C- ,1.97
1638,"Stevens, Laura Jeanne",MATH 10B,WI18,234,0.914,0.995,6.61,214,233,B ,3.1,B- ,2.83
1639,"Tucker, Henry Jackson",MATH 10B,WI18,128,0.775,0.542,6.55,99,69,B- ,2.91,C+ ,2.7
1640,"Licht, Martin W",MATH 10B,WI18,138,0.6409999999999999,0.156,6.85,88,22,B- ,2.78,B- ,2.84
1641,"Szypowski, Ryan S.",MATH 10C,WI18,103,0.937,0.9790000000000001,5.68,97,101,B ,3.3,B- ,2.79
1642,"Lamel, Bernhard R",MATH 10C,WI18,84,0.815,0.728,4.77,68,61,B+ ,3.46,B ,3.21
1643,"Kane, Daniel Mertz",MATH 11,WI18,150,0.6759999999999999,0.573,7.78,101,86,B ,3.21,B- ,2.73
1644,"Aamari, Eddie",MATH 11,WI18,102,0.765,0.742,7.64,78,76,B ,3.23,B- ,2.76
1645,"Driver, Bruce K",MATH 120A,WI18,28,0.9570000000000001,0.9129999999999999,6.33,27,26,B ,3.25,C+ ,2.4
1646,"Stevens, Laura Jeanne",MATH 121A,WI18,19,1.0,1.0,4.18,19,19,B+ ,3.42,B+ ,3.3
1647,"Mohammadi, Amir",MATH 140B,WI18,23,0.905,0.9520000000000001,10.59,21,22,B+ ,3.35,B- ,2.77
1648,"Elgindi, Tarek M",MATH 140B,WI18,9,0.667,1.0,10.25,6,9,B+ ,3.38,B- ,2.74
1649,"Curry, Sean N",MATH 142A,WI18,69,0.862,0.9690000000000001,8.44,59,67,B+ ,3.34,B ,3.08
1650,"Sterbenz, Jacob",MATH 142A,WI18,32,0.613,0.8059999999999999,9.21,20,26,C+ ,2.64,C ,2.13
1651,"Dewey, Edward Harold",MATH 142B,WI18,23,0.5710000000000001,0.762,7.45,13,18,B- ,2.9,B- ,2.83
1652,"Charlesworth, Ian L",MATH 142B,WI18,34,0.647,0.618,8.85,22,21,B- ,2.97,B- ,2.85
1653,"Rabin, Jeffrey Mark",MATH 150A,WI18,17,0.941,1.0,6.03,16,17,B ,3.29,B- ,2.91
1654,"Cloninger, Alexander",MATH 152,WI18,27,0.72,0.96,7.86,19,26,B ,3.09,B ,3.18
1655,"Suk, Andrew Hoon",MATH 154,WI18,44,0.902,0.902,6.21,40,40,B+ ,3.3,C+ ,2.68
1656,"Buss, Samuel R",MATH 155A,WI18,32,0.9309999999999999,0.966,8.91,30,31,B+ ,3.57,B+ ,3.49
1657,"Kedlaya, Kiran S.",MATH 157,WI18,69,0.603,0.677,10.31,42,47,B+ ,3.52,B+ ,3.45
1658,"Knop, Aleksandr",MATH 15A,WI18,14,0.857,0.7859999999999999,4.5,12,11,B ,3.08,B- ,2.88
1659,"Bowers, Adam R.",MATH 163,WI18,25,0.625,0.833,4.92,16,21,B- ,2.83,B- ,2.7
1660,"Dilts, James Paul",MATH 170A,WI18,82,0.8029999999999999,0.816,8.99,66,67,B ,3.15,B- ,2.85
1661,"Szypowski, Ryan S.",MATH 170A,WI18,38,0.946,0.973,6.01,36,37,B+ ,3.67,B ,3.16
1662,"Cheng, Li-Tien",MATH 170B,WI18,65,0.762,0.825,8.4,50,54,B ,3.11,C+ ,2.45
1663,"Nie, Jiawang",MATH 171A,WI18,46,0.7559999999999999,0.659,9.4,35,30,B ,3.15,B ,3.04
1664,"Eggers, John Dietrich",MATH 18,WI18,110,0.738,0.7170000000000001,7.01,81,79,B ,3.05,C+ ,2.62
1665,"Kemp, Todd Aahron",MATH 18,WI18,117,0.8859999999999999,0.956,6.39,104,112,B ,3.12,B- ,2.88
1666,"Kemp, Todd Aahron",MATH 18,WI18,115,0.8390000000000001,0.946,6.89,96,109,B ,3.14,B- ,2.88
1667,"Zhou, Wenxin",MATH 18,WI18,105,0.83,0.455,5.63,87,48,B+ ,3.55,B+ ,3.39
1668,"Kolesnikov, Pavel",MATH 18,WI18,72,0.846,0.7190000000000001,5.74,61,52,B ,3.29,B- ,2.97
1669,"Aghajani, Mohammadreza",MATH 180A,WI18,133,0.938,0.883,7.12,125,117,B ,3.29,B- ,2.91
1670,"Meyer, David A.",MATH 180B,WI18,29,0.846,0.654,7.76,25,19,B ,3.04,B ,3.01
1671,"Schweinsberg, Jason",MATH 180B,WI18,96,0.945,0.966,9.9,91,93,B+ ,3.49,B ,3.12
1672,"Zhang, Danna",MATH 181A,WI18,66,0.97,0.985,6.77,64,65,B+ ,3.5,B+ ,3.35
1673,"Politis, Dimitris",MATH 181A,WI18,27,0.87,0.522,7.23,23,14,B+ ,3.38,B- ,2.78
1674,"Novak, Jonathan I",MATH 184A,WI18,144,0.875,0.9440000000000001,6.36,126,136,B ,3.29,B+ ,3.67
1675,"Knop, Aleksandr",MATH 184A,WI18,45,0.8859999999999999,0.614,7.41,40,28,B ,3.09,B ,3.01
1676,"Zhou, Wenxin",MATH 185,WI18,25,0.84,0.76,6.74,21,19,A- ,3.83,B+ ,3.56
1677,"Tesler, Glenn",MATH 186,WI18,34,0.8390000000000001,0.8,6.37,29,27,B+ ,3.3,B- ,2.72
1678,"Bucur, Alina Ioana",MATH 187A,WI18,189,0.9359999999999999,0.723,4.23,177,137,A- ,3.81,B+ ,3.63
1679,"Bradic, Jelena",MATH 189,WI18,28,0.9259999999999999,0.741,9.09,26,21,B+ ,3.6,A- ,3.71
1680,"Rhoades, Brendon Patrick",MATH 190,WI18,25,0.875,1.0,8.41,22,25,B ,3.18,B ,3.1
1681,"Aghajani, Mohammadreza",MATH 194,WI18,62,0.9670000000000001,0.966,6.64,60,60,B+ ,3.68,B ,3.16
1682,"Quarfoot, David James",MATH 20A,WI18,110,0.873,0.861,8.03,96,95,C+ ,2.65,C- ,1.88
1683,"Harel, Guershon",MATH 20A,WI18,26,0.731,0.6920000000000001,5.73,19,18,C+ ,2.65,C- ,1.76
1684,"Curry, Sean N",MATH 20B,WI18,123,0.858,0.932,6.7,106,115,B ,3.0,C ,2.28
